Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040913,2023,07,27,22.5,1,N
IDCJAC0010,040913,2023,07,28,24.4,1,N
IDCJAC0010,040913,2023,07,29,25.4,1,N
IDCJAC0010,040913,2023,07,30,25.7,1,N
IDCJAC0010,040913,2023,07,31,28.0,1,N
IDCJAC0010,040913,2023,08,01,25.8,1,N
IDCJAC0010,040913,2023,08,02,23.5,1,N
IDCJAC0010,040913,2023,08,03,20.8,1,N
IDCJAC0010,040913,2023,08,04,22.9,1,N
IDCJAC0010,040913,2023,08,05,23.4,1,N
IDCJAC0010,040913,2023,08,06,19.3,1,N
IDCJAC0010,040913,2023,08,07,21.6,1,N
IDCJAC0010,040913,2023,08,08,22.6,1,N
IDCJAC0010,040913,2023,08,09,22.9,1,N
IDCJAC0010,040913,2023,08,10,23.3,1,N
IDCJAC0010,040913,2023,08,11,27.8,1,N
IDCJAC0010,040913,2023,08,12,26.4,1,N
IDCJAC0010,040913,2023,08,13,29.1,1,N
IDCJAC0010,040913,2023,08,14,27.9,1,N
IDCJAC0010,040913,2023,08,15,26.1,1,N
IDCJAC0010,040913,2023,08,16,23.7,1,N
IDCJAC0010,040913,2023,08,17,24.2,1,N
IDCJAC0010,040913,2023,08,18,25.1,1,N
IDCJAC0010,040913,2023,08,19,22.4,1,N
IDCJAC0010,040913,2023,08,20,23.3,1,N
IDCJAC0010,040913,2023,08,21,24.4,1,N
IDCJAC0010,040913,2023,08,22,25.9,1,N
IDCJAC0010,040913,2023,08,23,28.1,1,N
IDCJAC0010,040913,2023,08,24,24.3,1,N
IDCJAC0010,040913,2023,08,25,25.3,1,N
IDCJAC0010,040913,2023,08,26,24.1,1,N
IDCJAC0010,040913,2023,08,27,24.7,1,N
IDCJAC0010,040913,2023,08,28,24.7,1,N
IDCJAC0010,040913,2023,08,29,25.5,1,N
IDCJAC0010,040913,2023,08,30,25.7,1,N
IDCJAC0010,040913,2023,08,31,25.2,1,N
IDCJAC0010,040913,2023,09,01,29.0,1,Y
IDCJAC0010,040913,2023,09,02,23.9,1,Y
IDCJAC0010,040913,2023,09,03,24.9,1,Y
IDCJAC0010,040913,2023,09,04,24.6,1,Y
IDCJAC0010,040913,2023,09,05,27.2,1,Y
IDCJAC0010,040913,2023,09,06,26.9,1,Y
IDCJAC0010,040913,2023,09,07,26.3,1,Y
IDCJAC0010,040913,2023,09,08,26.6,1,Y
IDCJAC0010,040913,2023,09,09,24.9,1,Y
IDCJAC0010,040913,2023,09,10,22.4,1,Y
IDCJAC0010,040913,2023,09,11,22.8,1,Y
IDCJAC0010,040913,2023,09,12,24.2,1,Y
IDCJAC0010,040913,2023,09,13,24.1,1,Y
IDCJAC0010,040913,2023,09,14,24.4,1,Y
IDCJAC0010,040913,2023,09,15,25.0,1,Y
IDCJAC0010,040913,2023,09,16,25.2,1,Y
IDCJAC0010,040913,2023,09,17,25.9,1,Y
IDCJAC0010,040913,2023,09,18,26.1,1,Y
IDCJAC0010,040913,2023,09,19,26.3,1,Y
IDCJAC0010,040913,2023,09,20,28.6,1,Y
IDCJAC0010,040913,2023,09,21,32.3,1,Y
IDCJAC0010,040913,2023,09,22,24.6,1,Y
IDCJAC0010,040913,2023,09,23,24.1,1,Y
IDCJAC0010,040913,2023,09,24,23.2,1,Y
IDCJAC0010,040913,2023,09,25,24.4,1,Y
IDCJAC0010,040913,2023,09,26,26.7,1,Y
IDCJAC0010,040913,2023,09,27,29.6,1,Y
IDCJAC0010,040913,2023,09,28,29.6,1,Y
IDCJAC0010,040913,2023,09,29,27.4,1,Y
IDCJAC0010,040913,2023,09,30,27.1,1,Y
IDCJAC0010,040913,2023,10,01,26.7,1,Y
IDCJAC0010,040913,2023,10,02,28.0,1,Y
IDCJAC0010,040913,2023,10,03,27.2,1,Y
IDCJAC0010,040913,2023,10,04,25.8,1,Y
IDCJAC0010,040913,2023,10,05,28.0,1,Y
IDCJAC0010,040913,2023,10,06,26.3,1,Y
IDCJAC0010,040913,2023,10,07,22.7,1,Y
IDCJAC0010,040913,2023,10,08,22.9,1,Y
IDCJAC0010,040913,2023,10,09,24.8,1,Y
IDCJAC0010,040913,2023,10,10,27.2,1,Y
IDCJAC0010,040913,2023,10,11,27.9,1,Y
IDCJAC0010,040913,2023,10,12,27.9,1,Y
IDCJAC0010,040913,2023,10,13,32.6,1,Y
IDCJAC0010,040913,2023,10,14,28.7,1,Y
IDCJAC0010,040913,2023,10,15,32.4,1,Y
IDCJAC0010,040913,2023,10,16,30.6,1,Y
IDCJAC0010,040913,2023,10,17,26.5,1,Y
IDCJAC0010,040913,2023,10,18,25.9,1,Y
IDCJAC0010,040913,2023,10,19,25.8,1,Y
IDCJAC0010,040913,2023,10,20,27.7,1,Y
IDCJAC0010,040913,2023,10,21,28.4,1,Y
IDCJAC0010,040913,2023,10,22,29.1,1,Y
IDCJAC0010,040913,2023,10,23,29.7,1,Y
IDCJAC0010,040913,2023,10,24,28.9,1,Y
IDCJAC0010,040913,2023,10,25,29.6,1,Y
IDCJAC0010,040913,2023,10,26,29.9,1,Y
IDCJAC0010,040913,2023,10,27,23.9,1,Y
IDCJAC0010,040913,2023,10,28,25.3,1,Y
IDCJAC0010,040913,2023,10,29,24.5,1,Y
IDCJAC0010,040913,2023,10,30,27.4,1,Y
IDCJAC0010,040913,2023,10,31,29.7,1,Y
IDCJAC0010,040913,2023,11,01,27.8,1,Y
IDCJAC0010,040913,2023,11,02,26.4,1,Y
IDCJAC0010,040913,2023,11,03,25.3,1,Y
IDCJAC0010,040913,2023,11,04,26.2,1,Y
IDCJAC0010,040913,2023,11,05,22.7,1,Y
IDCJAC0010,040913,2023,11,06,23.8,1,Y
IDCJAC0010,040913,2023,11,07,24.9,1,Y
IDCJAC0010,040913,2023,11,08,26.4,1,Y
IDCJAC0010,040913,2023,11,09,27.8,1,Y
IDCJAC0010,040913,2023,11,10,27.4,1,Y
IDCJAC0010,040913,2023,11,11,26.3,1,Y
IDCJAC0010,040913,2023,11,12,28.2,1,Y
IDCJAC0010,040913,2023,11,13,30.3,1,Y
IDCJAC0010,040913,2023,11,14,28.3,1,Y
IDCJAC0010,040913,2023,11,15,31.8,1,Y
IDCJAC0010,040913,2023,11,16,33.3,1,Y
IDCJAC0010,040913,2023,11,17,32.8,1,Y
IDCJAC0010,040913,2023,11,18,26.9,1,Y
IDCJAC0010,040913,2023,11,19,28.6,1,Y
IDCJAC0010,040913,2023,11,20,23.2,1,Y
IDCJAC0010,040913,2023,11,21,26.1,1,Y
IDCJAC0010,040913,2023,11,22,27.8,1,Y
IDCJAC0010,040913,2023,11,23,27.9,1,Y
IDCJAC0010,040913,2023,11,24,27.1,1,Y
IDCJAC0010,040913,2023,11,25,26.6,1,Y
IDCJAC0010,040913,2023,11,26,29.1,1,Y
IDCJAC0010,040913,2023,11,27,30.6,1,Y
IDCJAC0010,040913,2023,11,28,27.6,1,Y
IDCJAC0010,040913,2023,11,29,30.5,1,Y
IDCJAC0010,040913,2023,11,30,34.6,1,Y
IDCJAC0010,040913,2023,12,01,35.3,1,N
IDCJAC0010,040913,2023,12,02,32.5,1,N
IDCJAC0010,040913,2023,12,03,34.5,1,N
IDCJAC0010,040913,2023,12,04,31.4,1,N
IDCJAC0010,040913,2023,12,05,30.6,1,N
IDCJAC0010,040913,2023,12,06,32.4,1,N
IDCJAC0010,040913,2023,12,07,31.1,1,N
IDCJAC0010,040913,2023,12,08,31.1,1,N
IDCJAC0010,040913,2023,12,09,29.6,1,N
IDCJAC0010,040913,2023,12,10,29.9,1,N
IDCJAC0010,040913,2023,12,11,29.3,1,N
IDCJAC0010,040913,2023,12,12,30.5,1,N
IDCJAC0010,040913,2023,12,13,30.6,1,N
IDCJAC0010,040913,2023,12,14,32.1,1,N
IDCJAC0010,040913,2023,12,15,34.3,1,N
IDCJAC0010,040913,2023,12,16,33.0,1,N
IDCJAC0010,040913,2023,12,17,34.2,1,N
IDCJAC0010,040913,2023,12,18,32.1,1,N
IDCJAC0010,040913,2023,12,19,31.5,1,N
IDCJAC0010,040913,2023,12,20,30.6,1,N
IDCJAC0010,040913,2023,12,21,27.9,1,N
IDCJAC0010,040913,2023,12,22,28.2,1,N
IDCJAC0010,040913,2023,12,23,29.4,1,N
IDCJAC0010,040913,2023,12,24,27.1,1,N
IDCJAC0010,040913,2023,12,25,32.9,1,N
IDCJAC0010,040913,2023,12,26,32.3,1,N
IDCJAC0010,040913,2023,12,27,32.1,1,N
IDCJAC0010,040913,2023,12,28,36.1,1,N
IDCJAC0010,040913,2023,12,29,38.3,1,N
IDCJAC0010,040913,2023,12,30,27.8,1,N
IDCJAC0010,040913,2023,12,31,30.4,1,N
